,msrp,year,canonical_mmty,model,local_zone,interior_color,aff_code,price,price_badge,trim,drivetrain,dealer_name,dealer_zip,mileage,make,bodystyle,cat,vin,canonical_mmt,fuel_type,stock_type,exterior_color,page_channel
11,69155,2024,Jeep:Wrangler 4xe:Summit 4x4:2024,Wrangler 4xe,,Black,national,69155,,Summit 4x4,Four-wheel Drive,Chrysler Dodge Jeep Ram of Princeton,08540,12,Jeep,SUV,hybrid_suv,1C4RJXU69RW162327,Jeep:Wrangler 4xe:Summit 4x4,Gasoline,New,Bright White Clearcoat,shopping
12,52685,2024,Nissan:Pathfinder:Platinum:2024,Pathfinder,,Chestnut,national,,,Platinum,Front-wheel Drive,Gainesville Nissan,32609,10,Nissan,SUV,suv_midsize,5N1DR3DH5RC263049,Nissan:Pathfinder:Platinum,Gasoline,New,White,shopping
13,25180,2024,Buick:Envista:Preferred:2024,Envista,,Ebony,national,25180,,Preferred,Front-wheel Drive,Elk Grove Buick GMC,95757,3,Buick,SUV,suv_midsize,KL47LAE21RB152144,Buick:Envista:Preferred,Gasoline,New,Moonstone Gray Metallic,shopping
14,70455,2024,Jeep:Wrangler 4xe:Summit 4x4:2024,Wrangler 4xe,,Green/Black Leather,national,60705,,Summit 4x4,Four-wheel Drive,Lawless Chrysler Dodge Jeep RAM,01801,10,Jeep,SUV,hybrid_suv,1C4RJXU61RW211777,Jeep:Wrangler 4xe:Summit 4x4,Gasoline,New,Silver Zynith Clearcoat,shopping
15,46350,2024,Honda:Passport:TrailSport:2024,Passport,,Black,national,43302,,TrailSport,All-wheel Drive,Honda Cars of Rockwall,75087,5,Honda,SUV,suv_midsize,5FNYF8H63RB009251,Honda:Passport:TrailSport,Gasoline,New,Sonic Gray Pearl,shopping
16,25180,2024,Buick:Envista:Preferred:2024,Envista,,Ebony,national,22988,,Preferred,Front-wheel Drive,Elk Grove Buick GMC,95757,3,Buick,SUV,suv_midsize,KL47LAE26RB103635,Buick:Envista:Preferred,Gasoline,New,Sunrise Red Metallic,shopping
17,56575,2024,Mazda:CX-90 PHEV:Premium:2024,CX-90 PHEV,,Black,national,55055,,Premium,All-wheel Drive,Mazda Of Roswell,30076,1,Mazda,SUV,hybrid_suv,JM3KKDHA7R1157109,Mazda:CX-90 PHEV:Premium,Hybrid,New,Sonic Silver Metallic,shopping
18,59265,2024,Mercedes-Benz:C-Class:C 300 4MATIC:2024,C-Class,,,national,,,C 300 4MATIC,All-wheel Drive,Mercedes-Benz of Easton,43219,8,Mercedes-Benz,Sedan,luxurypassenger_standard,W1KAF4HB3RR185496,Mercedes-Benz:C-Class:C 300 4MATIC,Gasoline,New,Selenite Gray Metallic,shopping
19,27450,2024,Honda:HR-V:LX:2024,HR-V,,Gray,national,26250,,LX,All-wheel Drive,Ed Napleton Honda,60453,10,Honda,SUV,crossover_compact,3CZRZ2H38RM774394,Honda:HR-V:LX,Gasoline,New,Modern Steel Metallic,shopping
20,57300,2024,Alfa Romeo:Giulia:Veloce:2024,Giulia,,Red,national,49500,,Veloce,All-wheel Drive,Joe Rizza Maserati Alfa Romeo,60462,14,Alfa Romeo,Sedan,luxurypassenger_standard,ZARFANBN1R7678246,Alfa Romeo:Giulia:Veloce,Gasoline,New,Vulcano Black Metallic,shopping
21,,2023,Buick:Envision:Avenir:2023,Envision,,Ebony,national,41897,,Avenir,All-wheel Drive,Bill Kay Buick GMC,60515,5,Buick,SUV,luxurysuv_crossover,LRBFZSR43PD231381,Buick:Envision:Avenir,Gasoline,New,Ebony Twilight Metallic,shopping
22,71650,2024,Jeep:Wrangler 4xe:Summit 4x4:2024,Wrangler 4xe,,Black,national,71650,,Summit 4x4,Four-wheel Drive,Chrysler Dodge Jeep Ram of Princeton,08540,9,Jeep,SUV,hybrid_suv,1C4RJXU63RW209030,Jeep:Wrangler 4xe:Summit 4x4,Gasoline,New,Black Clearcoat,shopping
23,55320,2024,Alfa Romeo:Giulia:Ti:2024,Giulia,,Black,national,48746,,Ti,All-wheel Drive,Joe Rizza Maserati Alfa Romeo,60462,18,Alfa Romeo,Sedan,luxurypassenger_standard,ZARFANBN3R7682458,Alfa Romeo:Giulia:Ti,Gasoline,New,Vulcano Black Metallic,shopping
24,53290,2024,Alfa Romeo:Giulia:Ti:2024,Giulia,,Black,national,46934,,Ti,All-wheel Drive,Joe Rizza Maserati Alfa Romeo,60462,18,Alfa Romeo,Sedan,luxurypassenger_standard,ZARFANBN7R7678221,Alfa Romeo:Giulia:Ti,Gasoline,New,Rosso,shopping
25,53390,2024,Alfa Romeo:Giulia:Veloce:2024,Giulia,,Black,national,46991,,Veloce,Rear-wheel Drive,Joe Rizza Maserati Alfa Romeo,60462,19,Alfa Romeo,Sedan,luxurypassenger_standard,ZARFAMBN9R7678344,Alfa Romeo:Giulia:Veloce,Gasoline,New,Alfa White,shopping
26,29910,2024,Chevrolet:Malibu:FWD 1LT:2024,Malibu,,Jet Black,national,26810,,FWD 1LT,Front-wheel Drive,Bill Kay Chevrolet,60532,5,Chevrolet,Sedan,sedan_midsize,1G1ZD5STXRF128958,Chevrolet:Malibu:FWD 1LT,Gasoline,New,Radiant Red Tintcoat,shopping
27,29895,2024,Chevrolet:Malibu:FWD 1LT:2024,Malibu,,Jet Black,national,26895,,FWD 1LT,Front-wheel Drive,Bill Kay Chevrolet,60532,5,Chevrolet,Sedan,sedan_midsize,1G1ZD5ST5RF111971,Chevrolet:Malibu:FWD 1LT,Gasoline,New,Sterling Gray Metallic,shopping
28,27345,2024,Chevrolet:Malibu:FWD RS:2024,Malibu,,Jet Black,national,24345,,FWD RS,Front-wheel Drive,Bill Kay Chevrolet,60532,2,Chevrolet,Sedan,sedan_midsize,1G1ZG5ST3RF186983,Chevrolet:Malibu:FWD RS,Gasoline,New,Mosaic Black Metallic,shopping
29,66905,2024,Audi:Q4 e-tron:50 Prestige:2024,Q4 e-tron,,Black,national,66905,,50 Prestige,All-wheel Drive,Audi Hoffman Estates,60169,5,Audi,SUV,ev_luxurysuv_suv,WA1MUBFZ2RP038920,Audi:Q4 e-tron:50 Prestige,,New,Mythos Black Metallic,shopping
30,44695,2024,BMW:228 Gran Coupe:i xDrive:2024,228 Gran Coupe,,Black,national,,,i xDrive,All-wheel Drive,BMW of Schererville,46375,1005,BMW,Sedan,luxurypassenger_standard,WBA73AK07R7N64531,BMW:228 Gran Coupe:i xDrive,Gasoline,New,Jet Black,shopping
31,84297,2024,Cadillac:LYRIQ:Sport w/1SK:2024,LYRIQ,,Juniper With Sky Gray Accents,national,84297,,Sport w/1SK,Rear-wheel Drive,Cadillac of Naperville,60540,4,Cadillac,SUV,ev_luxurysuv_suv,1GYKPWRL8RZ121298,Cadillac:LYRIQ:Sport w/1SK,Electric,New,Crystal White Tricoat,shopping
32,83777,2024,Cadillac:LYRIQ:Luxury w/1SE:2024,LYRIQ,,Juniper With Sky Gray Accents,national,83777,,Luxury w/1SE,Rear-wheel Drive,Cadillac of Naperville,60540,15,Cadillac,SUV,ev_luxurysuv_suv,1GYKPSRL5RZ121364,Cadillac:LYRIQ:Luxury w/1SE,Electric,New,Crystal White Tricoat,shopping
33,28090,2024,Chevrolet:Malibu:RS:2024,Malibu,,Jet Black,national,24795,,RS,Front-wheel Drive,Phillips Chevrolet,60423,3,Chevrolet,Sedan,sedan_midsize,1G1ZG5ST9RF157262,Chevrolet:Malibu:RS,Gasoline,New,Radiant Red,shopping
34,77850,2024,Cadillac:LYRIQ:Sport w/1SK:2024,LYRIQ,,Noir With Santorini Blue Accents,national,77850,,Sport w/1SK,Rear-wheel Drive,Cadillac of Naperville,60540,4,Cadillac,SUV,ev_luxurysuv_suv,1GYKPWRL9RZ129555,Cadillac:LYRIQ:Sport w/1SK,Electric,New,Nimbus Metallic,shopping
35,27595,2024,Chevrolet:Malibu:RS:2024,Malibu,,Jet Black,national,24095,,RS,Front-wheel Drive,Chevrolet of Naperville,60540,2,Chevrolet,Sedan,sedan_midsize,1G1ZG5ST4RF152373,Chevrolet:Malibu:RS,Gasoline,New,Mosaic Black Metallic,shopping
36,28060,2024,Chevrolet:Malibu:RS:2024,Malibu,,Jet Black,national,24768,,RS,Front-wheel Drive,Phillips Chevrolet,60423,3,Chevrolet,Sedan,sedan_midsize,1G1ZG5ST3RF192881,Chevrolet:Malibu:RS,Gasoline,New,Radiant Red,shopping
37,27345,2024,Chevrolet:Malibu:RS:2024,Malibu,,Jet Black,national,27542,,RS,Front-wheel Drive,Chevrolet of Naperville,60540,2,Chevrolet,Sedan,sedan_midsize,1G1ZG5ST2RF187929,Chevrolet:Malibu:RS,Gasoline,New,Lakeshore Blue Metallic,shopping
38,27840,2024,Chevrolet:Malibu:RS:2024,Malibu,,Jet Black,national,24340,,RS,Front-wheel Drive,Chevrolet of Naperville,60540,2,Chevrolet,Sedan,sedan_midsize,1G1ZG5ST1RF191440,Chevrolet:Malibu:RS,Gasoline,New,Radiant Red,shopping
39,27840,2024,Chevrolet:Malibu:RS:2024,Malibu,,Jet Black,national,24340,,RS,Front-wheel Drive,Chevrolet of Naperville,60540,2,Chevrolet,Sedan,sedan_midsize,1G1ZG5ST8RF188048,Chevrolet:Malibu:RS,Gasoline,New,Radiant Red,shopping
40,28090,2024,Chevrolet:Malibu:RS:2024,Malibu,,Jet Black,national,24590,,RS,Front-wheel Drive,Chevrolet of Naperville,60540,2,Chevrolet,Sedan,sedan_midsize,1G1ZG5ST7RF147541,Chevrolet:Malibu:RS,Gasoline,New,Radiant Red,shopping
41,27345,2024,Chevrolet:Malibu:RS:2024,Malibu,,Jet Black,national,23845,,RS,Front-wheel Drive,Chevrolet of Naperville,60540,2,Chevrolet,Sedan,sedan_midsize,1G1ZG5ST5RF186807,Chevrolet:Malibu:RS,Gasoline,New,Mosaic Black Metallic,shopping
42,39400,2023,Chrysler:300:Touring:2023,300,,Black,national,32237,,Touring,Rear-wheel Drive,Castle Chrysler Dodge Jeep Ram of Naperville,60540,9,Chrysler,Sedan,sedan_fullsize,2C3CCAAG7PH688143,Chrysler:300:Touring,Gasoline,New,Frostbite,shopping
43,45835,2023,Chrysler:300:S:2023,300,,Black,national,37535,,S,Rear-wheel Drive,Castle Chrysler Dodge Jeep Ram of Naperville,60540,3105,Chrysler,Sedan,sedan_fullsize,2C3CCABG3PH537878,Chrysler:300:S,Gasoline,New,Bright White Clearcoat,shopping
44,54790,2024,Alfa Romeo:Tonale:Veloce:2024,Tonale,,Red / Black,national,47290,,Veloce,All-wheel Drive,Glenview Luxury Imports,60025,30,Alfa Romeo,SUV,hybrid_suv,ZASPATDW1R3035318,Alfa Romeo:Tonale:Veloce,Hybrid,New,Rosso,shopping
45,30685,2024,Chevrolet:Trailblazer:LT:2024,Trailblazer,,BLACK,national,28940,,LT,Front-wheel Drive,Golf Mill Chevrolet,60714,10,Chevrolet,SUV,suv_midsize,KL79MPSL2RB114236,Chevrolet:Trailblazer:LT,Gasoline,New,CRIMSON,shopping
46,48710,2024,Alfa Romeo:Giulia:Ti:2024,Giulia,,Black,national,42851,,Ti,All-wheel Drive,Joe Rizza Maserati Alfa Romeo,60462,18,Alfa Romeo,Sedan,luxurypassenger_standard,ZARFANBN7R7680292,Alfa Romeo:Giulia:Ti,Gasoline,New,Alfa White,shopping
47,29070,2024,Chevrolet:Trailblazer:LT:2024,Trailblazer,,Black,national,28198,,LT,Front-wheel Drive,Castle Chevrolet of Villa Park,60181,5,Chevrolet,SUV,suv_midsize,KL79MPS20RB079302,Chevrolet:Trailblazer:LT,Gasoline,New,Mosaic Black Metallic,shopping
48,38905,2023,Chrysler:300:Touring:2023,300,,Black,national,33736,,Touring,Rear-wheel Drive,DuPage CDJR,60139,10,Chrysler,Sedan,sedan_fullsize,2C3CCAAG9PH661770,Chrysler:300:Touring,Gasoline,New,Gloss Black,shopping
49,27595,2024,Chevrolet:Malibu:FWD RS:2024,Malibu,,Jet Black,national,24595,,FWD RS,Front-wheel Drive,Bill Kay Chevrolet,60532,2,Chevrolet,Sedan,sedan_midsize,1G1ZG5ST7RF181964,Chevrolet:Malibu:FWD RS,Gasoline,New,Lakeshore Blue Metallic,shopping
50,54325,2024,Alfa Romeo:Giulia:Veloce:2024,Giulia,,Black,national,46852,,Veloce,All-wheel Drive,Joe Rizza Maserati Alfa Romeo,60462,18,Alfa Romeo,Sedan,luxurypassenger_standard,ZARFANBN7R7678283,Alfa Romeo:Giulia:Veloce,Gasoline,New,Vesuvio Gray Metallic,shopping
51,30600,2024,Chevrolet:Trailblazer:RS:2024,Trailblazer,,Jet Black w/Red Accents,national,28512,,RS,Front-wheel Drive,Golf Mill Chevrolet,60714,8,Chevrolet,SUV,suv_midsize,KL79MTSL7RB123250,Chevrolet:Trailblazer:RS,Gasoline,New,Fountain Blue,shopping
52,28090,2024,Chevrolet:Malibu:FWD RS:2024,Malibu,,Jet Black,national,24698,,FWD RS,Front-wheel Drive,Bill Kay Chevrolet,60532,2,Chevrolet,Sedan,sedan_midsize,1G1ZG5ST1RF155750,Chevrolet:Malibu:FWD RS,Gasoline,New,Radiant Red Tintcoat,shopping
53,27565,2024,Chevrolet:Malibu:FWD RS:2024,Malibu,,Jet Black,national,26065,,FWD RS,Front-wheel Drive,Bill Kay Chevrolet,60532,5,Chevrolet,Sedan,sedan_midsize,1G1ZG5ST8RF126990,Chevrolet:Malibu:FWD RS,Gasoline,New,Summit White,shopping
54,25285,2024,Chevrolet:Trailblazer:LS:2024,Trailblazer,,Jet Black,national,23853,,LS,Front-wheel Drive,Golf Mill Chevrolet,60714,10,Chevrolet,SUV,suv_midsize,KL79MMS23RB069166,Chevrolet:Trailblazer:LS,Gasoline,New,Summit White,shopping
55,26695,2024,Chevrolet:Malibu:1LS:2024,Malibu,,Jet Black,national,22282,,1LS,Front-wheel Drive,Phillips Chevrolet,60423,2948,Chevrolet,Sedan,sedan_midsize,1G1ZB5ST4RF110526,Chevrolet:Malibu:1LS,Gasoline,New,Sterling,shopping
56,26695,2024,Chevrolet:Malibu:1LS:2024,Malibu,,Jet Black,national,23496,,1LS,Front-wheel Drive,Bill Kay Chevrolet,60532,2,Chevrolet,Sedan,sedan_midsize,1G1ZB5ST7RF142967,Chevrolet:Malibu:1LS,Gasoline,New,Sterling Gray Metallic,shopping
57,53570,2024,Kia:Telluride:SX-Prestige:2024,Telluride,,Navy,national,50788,,SX-Prestige,All-wheel Drive,Napleton River Oaks Hyundai Kia,60409,9,Kia,SUV,suv_midsize,5XYP5DGC4RG481403,Kia:Telluride:SX-Prestige,Gasoline,New,Glacial White Pearl,shopping
58,29550,2024,Honda:HR-V:Sport:2024,HR-V,,Black,national,28350,,Sport,All-wheel Drive,Ed Napleton Honda,60453,6,Honda,SUV,crossover_compact,3CZRZ2H57RM774825,Honda:HR-V:Sport,Gasoline,New,Crystal Black Pearl,shopping
59,67550,2024,Jeep:Wrangler:Rubicon:2024,Wrangler,,Black,national,58451,,Rubicon,Four-wheel Drive,Napleton&#39;s Arlington Heights Chrysler Dodge Jeep RAM,60004,9,Jeep,SUV,suv_midsize,1C4PJXFG4RW264356,Jeep:Wrangler:Rubicon,Gasoline,New,Earl Clearcoat,shopping
60,44400,2023,Chrysler:300:S:2023,300,,Black,national,38572,,S,Rear-wheel Drive,DuPage CDJR,60139,14,Chrysler,Sedan,sedan_fullsize,2C3CCABG8PH613949,Chrysler:300:S,Gasoline,New,Bright White Clearcoat,shopping
61,27450,2024,Honda:HR-V:LX:2024,HR-V,,Nh-731p/Black,national,26250,,LX,All-wheel Drive,Ed Napleton Honda,60453,10,Honda,SUV,crossover_compact,3CZRZ2H3XRM776616,Honda:HR-V:LX,Gasoline,New,Deep Ocean Pearl,shopping
62,84775,2017,Toyota:Land Cruiser:V8:2017,Land Cruiser,,Terra,national,59995,,V8,Four-wheel Drive,Baha Auto Sales,60639,33077,Toyota,SUV,suv_fullsize,JTMCY7AJ2H4057391,Toyota:Land Cruiser:V8,Gasoline,Used,Blizzard Pearl,shopping
63,0,2021,Chrysler:Voyager:LX:2021,Voyager,,Black/Alloy,national,19995,,LX,Front-wheel Drive,S&amp;M Auto Sales Kedzie,60632,56138,Chrysler,Passenger Van,van_mini,2C4RC1DG0MR511764,Chrysler:Voyager:LX,Gasoline,Used,Brilliant Black Crystal Pearlcoat,shopping
64,0,2020,GMC:Terrain:SLE:2020,Terrain,,Medium Ash Gray/Jet Black,national,19995,,SLE,Front-wheel Drive,High Quality Auto Sales,60632,69725,GMC,SUV,crossover_midsize,3GKALMEV7LL199437,GMC:Terrain:SLE,Gasoline,Used,Gray,shopping
65,0,2020,Chrysler:Pacifica:Touring:2020,Pacifica,,Cognac/Alloy,national,16949,,Touring,Front-wheel Drive,Midway Dodge,60632,120434,Chrysler,Passenger Van,van_mini,2C4RC1FGXLR222628,Chrysler:Pacifica:Touring,Gasoline,Used,Granite Crystal Metallic Clearcoat,shopping
66,0,2009,Dodge:Caliber:SXT:2009,Caliber,,Dark Slate Gray,national,6490,,SXT,Front-wheel Drive,Auto House Oakbrook,60181,74153,Dodge,Hatchback,wagonhatchback_hatchback,1B3HB48A49D148824,Dodge:Caliber:SXT,Gasoline,Used,Deep Water Blue Pearlcoat,shopping
67,,2019,Nissan:Rogue:SL:2019,Rogue,,Charcoal,national,20323,,SL,All-wheel Drive,Napleton&#39;s Oak Lawn Mazda,60453,57343,Nissan,SUV,crossover_compact,5N1AT2MV9KC820295,Nissan:Rogue:SL,Gasoline,Used,Gun Metallic,shopping
68,0,2003,Aston Martin:V12 Vanquish:Base:2003,V12 Vanquish,,Gray,national,68990,,Base,Rear-wheel Drive,Auto Gallery Chicago,60101,21142,Aston Martin,Coupe,sportscar_standard,SCFAC23363B500753,Aston Martin:V12 Vanquish:Base,Gasoline,Used,Snow Shadow Gray,shopping
69,0,2005,Mercury:Mariner::2005,Mariner,,Black,national,3499,,,Front-wheel Drive,Your Choice Auto Sales of Posen,60469,177445,Mercury,,crossover_midsize,4M2YU56145DJ23038,Mercury:Mariner:,Gasoline,Used,Silver,shopping
70,0,2012,Kia:Optima:LX:2012,Optima,,White,national,8499,,LX,Front-wheel Drive,Your Choice Auto Sales of Posen,60469,103621,Kia,Sedan,sedan_midsize,5XXGM4A72CG057308,Kia:Optima:LX,Gasoline,Used,Silver,shopping
71,,2020,BMW:440:i xDrive:2020,440,,Black / Oyster,national,41888,,i xDrive,All-wheel Drive,Chicago Auto Place,60515,31351,BMW,Convertible,coupeconvertible_coupe,WBA4Z7C06L5R23843,BMW:440:i xDrive,Gasoline,Used,Mineral Gray Metallic,shopping
72,,2008,Mercury:Mariner:Premier:2008,Mariner,,Black,national,5495,,Premier,Four-wheel Drive,Nexton Motors LLC,60126,147062,Mercury,SUV,crossover_midsize,4M2CU97198KJ36268,Mercury:Mariner:Premier,Gasoline,Used,Silver,shopping
73,31687,2023,Chevrolet:Equinox:RS:2023,Equinox,,Jet Black,national,31687,,RS,All-wheel Drive,Chevrolet of Homewood,60430,2044,Chevrolet,SUV,crossover_midsize,3GNAXWEG4PL143370,Chevrolet:Equinox:RS,Gasoline,Used,Mosaic Black Metallic,shopping
74,0,2020,Aston Martin:DB11:AMR:2020,DB11,,Obsidian Black,national,150000,,AMR,Rear-wheel Drive,Napleton Aston Martin Maserati,60515,4398,Aston Martin,Coupe,sportscar_standard,SCFRMFEV9LGL08798,Aston Martin:DB11:AMR,Gasoline,Used,Scorpus Red,shopping
75,,2021,Ford:Transit Connect:XL:2021,Transit Connect,,Ebony,national,29995,,XL,Front-wheel Drive,Auto Showcase of Carol Stream,60188,28768,Ford,Cargo Van,van_fullsize,NM0LS7E25M1492855,Ford:Transit Connect:XL,Gasoline,Used,Frozen White,shopping
76,0,2023,Ferrari:SF90 Stradale:Coupe ONLY 261 Miles! $136K+ in Options! HOT Spec! TONS of Carbon! LIKE-NEW:2023,SF90 Stradale,,ExtraCampionario - Yellow,national,569800,,Coupe ONLY 261 Miles! $136K+ in Options! HOT Spec! TONS of Carbon! LIKE-NEW,All-wheel Drive,Chicago Motor Cars,60185,272,Ferrari,Coupe,sportscar_standard,ZFF95NLA7P0292767,Ferrari:SF90 Stradale:Coupe ONLY 261 Miles! $136K+ in Options! HOT Spec! TONS of Carbon! LIKE-NEW,Plug-in Gas/Elec,Used,ExtraCampionario - White,shopping
77,,2023,Chevrolet:Silverado 3500:WT:2023,Silverado 3500,,Jet Black,national,56750,,WT,Four-wheel Drive,Arnie Bauer Cadillac,60443,2387,Chevrolet,Pickup Truck,truck_fullsize,1GB3YSE71PF225188,Chevrolet:Silverado 3500:WT,Gasoline,Used,Summit White,shopping
78,0,2021,Buick:Encore GX:Select:2021,Encore GX,,Ebony With Ebony Interior Accents,national,20775,,Select,Front-wheel Drive,Arlington Heights Buick GMC,60004,25966,Buick,SUV,luxurysuv_crossover,KL4MMDS2XMB096039,Buick:Encore GX:Select,Gasoline,Used,Chili Red Metallic,shopping
79,0,2021,Ford:Edge:SEL:2021,Edge,,Black,national,20900,,SEL,All-wheel Drive,All In Auto,60074,111761,Ford,SUV,crossover_midsize,2FMPK4J91MBA22554,Ford:Edge:SEL,Gasoline,Used,Agate Black Metallic,shopping
80,25785,2022,Chrysler:Pacifica:Touring-L:2022,Pacifica,,Black,national,23498,,Touring-L,Front-wheel Drive,Napleton Nissan,46375,72285,Chrysler,Passenger Van,van_mini,2C4RC1BG4NR136594,Chrysler:Pacifica:Touring-L,Gasoline,Used,Granite Crystal Clearcoat Metallic,shopping
81,0,2020,Dodge:Journey:SE Value:2020,Journey,,Black,national,13694,,SE Value,Front-wheel Drive,All In Auto,60074,90639,Dodge,SUV,crossover_compact,3C4PDCAB3LT272120,Dodge:Journey:SE Value,Gasoline,Used,Pitch Black Clearcoat,shopping
82,,2021,BMW:530:i xDrive:2021,530,,Canberra Beige,national,37980,,i xDrive,All-wheel Drive,BMW of Schererville,46375,28305,BMW,Sedan,luxurypassenger_plus,WBA13BJ0XMCF30230,BMW:530:i xDrive,Gasoline,Used,Alpine White,shopping
83,61865,2024,Dodge:Durango:R/T AWD:2024,Durango,,Black,national,54272,,R/T AWD,All-wheel Drive,Castle Chrysler Dodge Jeep Ram of Naperville,60540,0,Dodge,SUV,suv_fullsize,1C4SDJCT4RC176568,Dodge:Durango:R/T AWD,Gasoline,New,White Knuckle Clearcoat,shopping
84,,1998,Toyota:Land Cruiser::1998,Land Cruiser,,Beige,national,18990,,,Four-wheel Drive,Car City Inc,60074,87024,Toyota,SUV,suv_fullsize,UZJ10000101181111,Toyota:Land Cruiser:,Gasoline,Used,Pearl White,shopping
85,0,2015,Alfa Romeo:4C:Launch Edition:2015,4C,,Black,national,52800,,Launch Edition,Rear-wheel Drive,Chicago Motor Cars,60185,34683,Alfa Romeo,Coupe,coupeconvertible_coupesport,ZARBAAC44FM144801,Alfa Romeo:4C:Launch Edition,Gasoline,Used,Madreperla White Tri-Coat,shopping
86,0,2021,Ford:Escape:SE:2021,Escape,,,national,20127,,SE,Front-wheel Drive,Zeigler Chevrolet,60173,33740,Ford,SUV,crossover_compact,1FMCU0BZ3MUB18356,Ford:Escape:SE,Hybrid,Used,White,shopping
87,30495,2024,Chevrolet:Malibu:LT:2024,Malibu,,Jet Black,national,27072,,LT,Front-wheel Drive,Phillips Chevrolet,60423,3,Chevrolet,Sedan,sedan_midsize,1G1ZD5ST8RF190620,Chevrolet:Malibu:LT,Gasoline,New,Mosaic Black Metallic,shopping
88,58985,2024,Cadillac:LYRIQ:Tech:2024,LYRIQ,,Black,national,58985,,Tech,Rear-wheel Drive,Rizza Cadillac Buick GMC,60487,3,Cadillac,SUV,ev_luxurysuv_suv,1GYKPMRK3RZ127179,Cadillac:LYRIQ:Tech,Electric,New,Silver Metallic,shopping
89,74685,2024,Cadillac:LYRIQ:Sport:2024,LYRIQ,,Gray,national,74685,,Sport,All-wheel Drive,Rizza Cadillac Buick GMC,60487,3,Cadillac,SUV,ev_luxurysuv_suv,1GYKPVRL5RZ120751,Cadillac:LYRIQ:Sport,Electric,New,Crystal White Tri-Coat,shopping
90,0,2021,BMW:X7:xDrive40i:2021,X7,,Black,national,45605,,xDrive40i,All-wheel Drive,Zeigler Ford of North Riverside,60546,69461,BMW,SUV,luxurysuv_crossover,5UXCW2C06M9F32973,BMW:X7:xDrive40i,Gasoline,Used,Black Sapphire Metallic,shopping
